Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"Provides a Web-based CRM tool that allows hospice and home care companies to target new sales opportunities, cut down on administrative tasks, monitor marketing compliance and protect referral source information.",In,Out,Software,Over-Hex,2006,1130700.06,334.00%,10684526.9
"Helps law firms use Thomson Reuters Elite practice management software more effectively, providing implementation, training, customization and upgrades.",In,Out,IT Services,Unimattax,2009,804035.4,65.00%,9016542.89
"Offers investment, construction, residential, commercial, and brokerage services.",In,Out,Real Estate,Lexila,2013,2149297,520.00%,12456641.64
A Verizon Wireless premium retailer that offers products and services throughout its 36 retail locations.,In,Out,Retail,Greenfax,2012,1044375.49,317.00%,7746272.07
"An energy efficiency consulting firm that works with business owners to educate them on cutting costs, increasing productivity and profitability, and reducing negative effects energy consumption has on air quality and water supply.",In,Out,Energy,Saoace,2009,2694644.42,312.00%,10725585.46
"Offers public relations consulting services to food and beverage, baby and children's products, and franchise and lifestyle clients to create ROI driven campaigns, land strategic media placement opportunities, and deliver results for its clients.",In,In,Advertising & Marketing,Donplus,2009,3206651.6,560.00%,7798447.11
"Provides technology support services with a focus on managed services, infrastructure implementation, and custom software development. The company doesn't sell software products, but prefers to partner with distributors who do so as to grow a wider customer base.",In,In,IT Services,Blacklane,2011,4631808.13,564.00%,10359369.13
"An asset-backed, third-party logistics company providing full truckload, less than truckload, heavy haul, tanker, expedited, flatbed, and specialized transportation services across North America.",In,Out,Logistics & Transportation,Toughtam,2011,371848.52,267.00%,8501568.34
"Provides staff for engineering, IT, clerical, and technical positions for the automotive, aerospace, and robotic automation industries.",In,Out,Human Resources,Zimlane,2010,1716656.77,323.00%,6329643.96
"A media buying agency for all types of broadcasting: TV, radio, national cable networks, and satellite.",In,Out,Advertising & Marketing,Quotelane,2013,3282018.33,400.00%,9227504.31
"Specializes in reaching business professionals online wherever they travel Bizo can precisely target more than 120 million professionals around the world, including more than 80 percent of the U.S. business population.",Out,Out,Advertising & Marketing,Ganzzap,2011,6515504.66,313.00%,6836806.51
Offers cloud-based practice management and electronic health record information systems for the optometry community.,In,Out,Software,Yearflex,2013,4374840.85,451.00%,9567909.51
"Offers enterprise-level Drupal development to create robust, high-performance, dynamic websites for its clients. Reaction also provides strategic planning, creative design and expert project management services.",In,Out,IT Services,Indigoplanet,2013,4626275.39,488.00%,7805452.21
"An international logistics company that simplifies relations among vendors, more than 2,500 customers, 68 of its own trucking units and a database of 22,500 carriers nationwide.",Out,Out,Logistics & Transportation,Indigoholding,2009,4684562.7,439.00%,9812557.85
"Provides back-end financial management services for health benefit administrators, health plans, private exchanges, and state governments in all 50 states.",In,Out,Insurance,Lexinamex,2013,4403888.23,372.00%,13058157.3
"A payment processor serving sales agents, financial institutions and merchants with services and benefits including next-day funding with a late cut-off time and graphical, Web-based reporting.",Out,Out,Financial Services,Treslam,2009,4127983.72,354.00%,3387469.45
"An IT consultancy exclusively focused on SAP integration, applications, analytics, training, and staff augmentation.",In,Out,Insurance,O-Tindax,2010,2343975.47,378.00%,6747854.97
A family-owned restaurant business that offers live music in addition to a Southern food menu. It hires from within the community it serves when expanding its business.,In,Out,Food & Beverage,Doublelane,2012,3633056.6,393.00%,9526169.62
"An electrical contractor that offers electrical and power services, from core and shell construction and complex power installations to sophisticated wiring installations for multi-floor fit-outs and complex life safety control installations.",In,Out,Construction,Rednimdox,2013,3601876.67,261.00%,7305864.89
"Helps companies simplify IT operations by building and integrating data center operations. Kovarus has expertise in virtualization, storage and cloud platforms.",Out,Out,IT Services,Lamtone,2009,6482465.45,439.00%,6757017.7
"A single source provider for microwave point-to-point and point-to-multipoint radio networks. Its specialties include applications for wireless backhaul, ultra low latency HFT and wireless point to point communication links.",In,In,Telecommunications,Geocom,2010,4380960.93,563.00%,9442767.87
Provides cloud-based electronic payment and social marketing software to businesses of all sizes.,In,Out,Financial Services,Stripfind,2010,2916455.2,305.00%,10329371.27
"Manufactures and markets a noninvasive electrotherapy medical device that treats depression, anxiety, and insomnia without drugs.",Out,Out,Health,Canecorporation,2012,5591188.97,426.00%,10597009.1
A boutique experience research and design agency.,In,Out,Business Products & Services,Cankix,2010,2513916.7,301.00%,8719722.9
Provides design and development services for websites and mobile apps as well as providing marketing strategy.,Out,Out,IT Services,Mattouch,2013,7429377.01,517.00%,9026933.51
Designs and makes rugged and semi-rugged cases to safeguard mobile electronics devices and other valuables.,In,Out,Consumer Products & Services,Physgreen,2013,2724847.36,470.00%,10376896.73
"Imports chocolate and bulk non-GMO sweeteners primarily from Columbia, warehouses them in public warehouses throughout North America and sells them to industrial food manufacturers.",In,Out,Food & Beverage,Cantonlux,2012,1888735.19,419.00%,9922154.79
Works with a discount medical plan organization (DMPO) to offer a provider-owned network of chiropractors who want to assist patients who are uninsured or underinsured by offering discounts upon membership.,Out,Out,Health,Techdrill,2009,5435362.79,470.00%,10573989.85
Provides professional staff that are knowledgeable in multiple areas of digital technology to companies undergoing critical changes and growth.,Out,Out,IT Services,Techline,2006,5470303.34,361.00%,8898119.1
"An executive search, consulting, and staffing firm with five practice groups: financial services, accounting and finance, IT, administrative services, and health care staffing.",Out,Out,Human Resources,Ganzhouse,2012,5878551.72,286.00%,13877422.82
A biopharmaceutical company focused on developing products for the treatment of cancer and infectious diseases based on its proprietary Tarmogen platform. It has four Tarmogen product candidates in clinical evaluation for infectious disease and multiple cancer indications.,In,In,Health,Cityace,2010,4249498.21,591.00%,9254614.34
"A full-service promotional marketing agency that designs and implements live event campaigns featuring its roster of models, dancers, costume characters, emcees, artists, and drivers.",In,Out,Advertising & Marketing,Tres-How,2013,2870972.65,356.00%,7028879.61
"A meetings and events organizer that sources venues, plans events, and manages registration for companies in the financial, professional services and technology sectors.",In,Out,Business Products & Services,Domphase,2007,4029599.52,469.00%,7361115.86
Owns and operates urgent care facilities throughout North Carolina and Arizona. It offers walk-in medical services and delivery of medication to patients.,In,Out,Health,Kayelectronics,2009,1878113.23,339.00%,9451942.98
"A technology consulting firm that delivers cusomized services to commercial and government clients including Freddie Mac, Home Depot, and Honda.",Out,Out,IT Services,Ganzlax,2011,5480069.12,439.00%,9001179.91
"Offers systems integration, project management and strategy consulting to federal clients such as the Naval Research Laboratory and NASA's Independent Program Assessment Office.",In,Out,Government Services,Trantraxlax,2011,4635276.43,492.00%,11088335.91
"Makes organic ice cream, selling dozens of flavors at its four scoop shop locations, as well as selling packaged varieties and selling to cafes and restaurants across the country.",Out,Out,Food & Beverage,Silicon-Hex,2012,4760361.86,391.00%,8442981.89
"Operates a family of online stores that supply products that create and maintain a healthy, safe, efficient and comfortable home environment. Offerings include heating and cooling, plumbing, air conditioning, and refrigeration products.",Out,Out,Retail,E-Zim,2008,4762319.44,284.00%,8746450.9
"Develops technology used by the music industry, including artists, managers, labels, venues and festivals, for promotion, content management and cross-media licensing opportunities.",Out,Out,Software,Daltfase,2011,6196409.02,375.00%,11410628.36
A full-service incentive Internet marketing agency.,In,Out,Advertising & Marketing,Alphalex,2012,2248331.18,278.00%,9423616.52
"Specializes in asset integrity for the oil & gas, chemical and mining industries. PinnacleAIS offers software targeting inspection data management, risk-based inspection and vessel & stress analysis.",Out,Out,Energy,Ozerholdings,2012,5207963.99,491.00%,7411035.41
"A consumer trade-in site that exchanges used cell phones and other electronic gadgets for cash, then resells or recycles them. To date it has accepted more than 1.5 million trade-ins.",In,Out,Consumer Products & Services,Subflex,2010,4368200.09,420.00%,11205062.88
"Provides software development, engineering, programmatic support, data integration, systems development, enterprise architecture, material procurement. and meteorological services to customers in the Department of Defense and in private industry.",Out,Out,Government Services,Hotlane,2012,4686573.62,307.00%,7978332.2
"A curated guide to shopping deals with more than 10 million e-mail subscribers and partnerships with more than 3,000 retailers.",In,In,Consumer Products & Services,Salttrans,2012,3298689.94,708.00%,7346281.01
"Specializes in clinical and consulting services for health-focused federal agencies as well as the health care industry. Specific areas of expertise include clinical services, military and veterans health, federal health care initiatives, pharmacy consulting, technology, and global public health.",Out,Out,Health,Lathotline,2012,7567232.7,494.00%,9418302.78
"Specializes in creating custom marketing programs aimed at niche readers of digital arts, culture and style publications, combining content, innovative displays, pop-up shops, applications and events.",Out,Out,Advertising & Marketing,E-Care,2011,5976072.71,546.00%,8365394.13
"Offers high-bandwidth, low-latency networking services for financial, content, carrier, and enterprise customers. Its direct linear connections provide microsecond carriage throughout most of the major exchanges within the New York and New Jersey area. Its X-change Connect platform is also available at major international financial hubs including Toronto, London, Singapore, and Hong Kong.",In,Out,Telecommunications,Opedrill,2009,2039850.33,332.00%,7789730.11
"Develops comprehensive software for virtual, physical and cloud-based backup and disaster recovery, allowing IT professionals to protect and quickly restore data, applications and operating systems.",In,Out,IT Services,Lambam,2012,4365512.46,488.00%,6950148.2
A chocolate manufacturing company that was founded by Peace Corp volunteers to create new economies in Africa. Its products are available at retailers nationwide and online.,Out,Out,Food & Beverage,Quotedax,2010,6227869.4,264.00%,8984621.31
"An online, membership-based community of more than 375,000 people looking for their next career opportunities in hedge funds, investment banking and technology.",Out,Out,Human Resources,Cityla,2013,5135359.23,406.00%,6104274.9
"Builds trailers for all purposes, from smaller cargo carriers to large custom-built truck trailers. LOOK partners with dealers and to provide products that offer value, special features, and customer service.",In,In,Consumer Products & Services,Quotecity,2010,3974483.24,584.00%,10878836.69
"Offers commercial trucking fleet safety, security, and productivity technology products.",In,Out,Logistics & Transportation,Vaia-Dax,2008,4113501.81,278.00%,10345434.51
Offers a variety of e-liquids and innovative products used in e-cigarettes.,Out,Out,Consumer Products & Services,Zimkeyfind,2012,7459279.2,251.00%,6732003.38
"Creates mobile real estate applications that enable clients to search for homes by GPS location or by city, state, or ZIP code.",Out,Out,Software,Quozap,2004,7019973.12,353.00%,9304479.81
